用户名,时间,内容,星级,点赞,,,
anglema,2023-04-1915:30," 从进门，租借耳机开始，觉得南京博物院做的真的挺好！不然人流量真的大啊！请了讲解员估计还是会听了不够清楚的。戴着耳机，走到有预先设定的展品前，就会有相关的知识语音介绍，很方便！ 南博的展品数量之多确实是让人惊讶的！据说存量共有二万多件！据说历史上有很多次的机遇让他们有如此众多，质量，体量，重量级的收藏！让我们很羡慕！这次的参展有点匆忙，粗略看了一圈！有些镇馆之宝都给借展去了。还会再来！   		   ",4,0, , , 
匿名用户,2023-04-1913:48,数量跟质量对比一般吧，网红流量过喻了。,2.5,0, , , 
贾老师,2023-04-1912:22,南京博物院，不愧是国家三大博物院之一，展品，真迹很多，内容丰富！六大展馆布局合理！,5,0, , , 
香瓜,"2023-04-19
??更新于2023-06-2510:00"," 交通: 很方便做到南京航空航天大学应该就可以了，南京博物院旁边还有南京大排档，吃完中午饭赶的下午场次  展览内容: 很全很大，我应该是没有逛全，但是已经走的很累了  tips: 喜欢纪念品那里，逛了好久 人真多，真的好多人，还特别晒，记得做好防晒，少穿点，一楼展厅有点热，记得拿个外套，二楼又有点冷，最好搞个讲解，这样逛比较有意思   		   ",4.5,0, , , 
碧绿的兔子W,2023-04-1910:40," 好喜欢好喜欢，但是人真的太多太多了，排队排了一个钟头才进了历史馆~ 预约需在微信公众号的“南京博物院”里，提前三天就没票了，于是马蜂窝买了个30块的抢票服务加导览服务，结果周日当天上午其实又放了一轮票，早上起来是可以抢到的，筒子们就不要浪费钱了，当天早起刷票就能预约上~ 在历史馆正好碰上博物馆志愿者讲解服务~非常详细的讲解了两小时，把十几个镇馆之宝都给串了起来，金缕玉衣让我想起了盗墓笔记，上了《国家宝藏》的荣启期与竹林七贤版画真的不注意就会错过，给当年的考古人员点赞~ 一个下午只逛完了历史馆，整个博物馆的话至少需要一整天时间~   		   ",5,0, , , 
匿名用户,2023-04-1909:52," 了解历史，丰富知识的最佳地。
 孩子太小不建议来，看不懂，历史不明白，人多空气也差。
 内由几十个小展馆组成。
 文物较多，每件背后都他的故事，建议提前做功课或者买解说。
 周末人太多了，工作日去还好一些。
 需要在公众号提前预约，太难约了，只好等到当天放票随机刷，约到了。
 细致观看要小一天的时间。   		   ",5,0, , , 
单调一筒,"2023-04-19
??更新于2023-04-2809:54"," 到南京博物院那天原本天气预报是阴天，结果却下起了雨。本就阴冷的天气因为南京博物院添了一份薄凉。昨日份的冷漠与感动都在南京博物院收获了。 这是第二次来南京博物院了，不同与上次，这次带了小宝贝一起来，宝贝才一岁，却还是想趁这个机会让她感受一下博物院的恢弘，中华历史的经典。刚下车雨就下大了，我抱着孩子一路小跑进博物馆，却发现门口排起了长龙，一直排到了博物院门口石阶下面，是我这个做妈妈的没想周全，没想到临时雨会突然变大。我抱着宝贝跑了一会儿，头发已经有些湿了。 我想着很多地方都有绿色通道，就找到前面的工作人员询问解释了没有带伞，孩子还很小，可否安排一下绿色通道。结果工作人员脸都没有抬一下，冷漠的词汇一气呵成：没有，麻烦你排队。 没有任何帮忙的意思，也没有多一个字的解释哪怕是安抚。 我想再说话，工作人员已经撇过脸去根本没打算理我，全程他没有抬眼看我一次。这个态度让我知道这个地方，除了冰冷的文物还有冰冷的心。 我想过放弃但再跑出去还得淋雨，也很难再打到车，而且南京博物院的门票那一周都约满了。我走到队伍里一个男士前面，他低头看着手机，我鼓着勇气说：对不起，孩子还小，你看能不能让我插个队… 我话还没说完，男士退了一步，点点头双手向前一伸，示意我往前站。当时我真的眼含热泪的感谢了很多次，那种感觉是雪中送炭，让一个带着宝宝充满无力感的妈妈感受到了温暖，感恩，原来再冰冷的地方还是来自善心的温度。 我想向南京博物院提一个建议，对70岁以上，3周岁以内的老人孩子以及孕妇，残疾人提供绿色通道。尊老爱幼是中国五千年传承的美德，一个承载历史的地方更应该注重美德的传承。 我重申：我并非说谁错了，我只说有人让我感到冷酷，有人让我感到温暖，我感谢那位礼让的先生，也建议工作人员脸上多一些笑容，即便答案是不，言语间也对他人多一些温暖。 评论里某人素质堪忧，正常提意见你就跳脚如此，给南京抹黑的是你本人！   		   ",0.5,2, , , 
Carey,2023-04-1902:39," 「南京博物院」来南京怎能不去南京博物院打卡拍照呢全国第二大博物馆，一定不能错过哦！  展览亮点:「南京博物院」除了常规展的历史馆和临时展的特展馆、艺术馆等，最最最不能错过的就是位于负一层的民国馆展览啦 南京城，作为民国时期的中心地带「南京博物院」民国馆，还原了鼎沸时期的民国建筑与生活，快穿上旗袍去深度体验民国时期的热闹与喧嚣吧这里拍照??非常出片哦  ??tips:民国馆里还有一个老茶馆哦如果时间充裕，下午还可以进去坐坐，一边喝茶??一边吃茶点??听听戏，也是一件悠哉幸事啊  @美团门票@点小二@点小胖@点小Mall@点小浪   		   ",5,1, , , 
xxff00,2023-04-1821:09," 地铁出来要走个一刻钟吧，记得提前一周预约好，主要展馆有三个，分别是入口左手边的艺术馆，入口走到底的历史馆，以及历史馆旁边，正对艺术馆出口的特展馆。预约过的我们看到排到门口的长队也是吓了一跳，烈日下排队真是又晒又累，历史馆最长排到入口外面了，其次是艺术馆，特展馆没有人排。我们挑了人略少的艺术馆，排了大概半小时入馆，民国馆在艺术馆地下2楼，这里环境很舒服，里面人流不多，可以慢慢看展，在艺术和民国馆交接的楼梯处有最好看的6个章，排队敲一个哟，值得。出去对面就是特展馆，一楼左手的商店门口也有3个章可以敲，算是第二好看吧，可以敲，排队不长。这个馆里的宝贝可不少，记得慢慢看哦，全部看完之后，旁边的通道直接就可以走到历史馆，是的，不用排队！但是历史馆里人很多很热，参观体验不佳，推荐艺术馆和特展馆。好了，敲重点，参观博物院不要傻排队，进去就直走到底先去特展馆，然后顺便历史馆，逛完直接去对面的艺术馆出口入艺术馆，全程就不用排队了，再说一下艺术馆和特展馆的文创真的很漂亮，可以买，价钱都不贵，爱不释手。对了，冰激凌造型独特口感一般，小朋友人手一个。   		   ",5,0, , , 
馋老呸,2023-04-1819:49," 【南京博物院】 中国三大博物馆之一，文物数量居中国第二，仅次于故宫博物院。馆藏文物上至旧石器时代，下迄当代；既有全国性的，又有地域性的；既有宫廷传世品，又有考古发掘品，均为历朝历代的珍品佳作和备受国内外学术界瞩目的珍品。青铜、玉石、陶瓷、金银器皿、竹木牙角、漆器、丝织刺绣、书画、印玺、碑刻造像等所有文物品类一应俱有，每一品种又自成历史系列，是数千年中华文明历史发展最为直接的见证[2]。今天一睹镇馆之宝的光彩，过瘾。 【金缕玉衣】 【广陵玉玺】 【铜牛灯】 【竹林七贤与荣启期模印砖画】 【青釉瓷神兽尊】 【三彩陶双鱼瓶】 【唐三彩骆驼】 【乾隆缂丝龙袍】 【白釉梅瓶】 【大报恩寺琉璃塔拱门】 【青釉神兽尊铜盒砚】 【芙蓉石盖壶】 【坤舆万国全图】   		   ",5,1, , , 
胡迪和翠丝,2023-04-1818:41," 南京博物院是第一座由国家兴建的大型综合博物馆，它与北京故宫博物院，上海博物馆齐名，国内三大博物馆之一，博物馆前身是蔡元培先生倡议创建。 南京博物院有各类藏品40余万件，国家一级以上文物1062件。南京博物馆众多，一定不要错过这里。   		   ",4,1, , , 
Kate,2023-04-1815:46," 我真的认真抢了很多天的票 因为，来南京 不去博物馆真的会很遗憾  这里的历史馆就可以转上一整天了 如果配上介绍 可以慢慢了解人类发展史的几次变革 然后回家洗个热水澡感受现代文明的幸福  数字馆艺术馆都没时间 匆匆走过 留待下回   		   ",5,0, , , 
須崎sama,2023-04-1809:55," 今年突然流行起来参观博物馆了，有名的博物馆都是一票难求啊。打算去南京旅游的，提前几天预约好了南博的门票。自驾游一进南京就开始堵车，南博附近也不方便停车，找停车位很头疼。刷身份证进博物院然后要过个安检，我是从历史馆那个门进的，其实在艺术馆也有一个入口，他们几个馆之间是分开的。展厅特别大！！走马观花看了三个多小时，后来因为人多+闷热+累，没有参观完就匆匆出来了。这家博物院没有收费的专职讲解员，只有志愿者讲解，每天固定时间出发，出发前会广播通知观众提前去报名，挺人性化的。电子讲解设备也分几种类型，价格很便宜。不想花钱的话微信公众号上也能听语音讲解。 提前在xhs上搜的攻略，看了几个最经典不能错过的展品，金蝉玉叶（很震撼，非常精致），芙蓉石蟠螭耳盖炉（这个粉色的很好看~） 南博还有一个很火的盖章环节，这个我觉得要不就是只为了盖章来，要不为了参观就别想着盖章了，排队超级无敌长，上一次这样的排队还是在世博会吧，真的有震惊到，还好我没有集章的情怀～（博物院门口有人卖集齐全部章的本子） 地下的民国馆都说很适合拍照，但其实灯光不是很亮也不算很能出片吧。里面有家店卖文创冰淇淋，造型挺好看的但是味道很一般（文创雪糕的通病）整体给我一种室内商业街的感觉。。   		   ",5,11, , , 
美食推荐官,2023-04-1723:09," 一座南京城，半部民国史。  南京博物院地处六朝古都的南京，又是国内四大博物馆之一，内藏金陵的诸般宝物，又有部分当年抗战时期北京故宫南迁的文物，加之中央博物馆的底蕴，相当有看头，要想看透其中精髓，除了时间之外还必须做好功课，这里就详细讲一下  交通:  南京博物院位于中山东路321号，毗邻钟山风景名胜区，和南京城一众古迹连成一条直线。 地铁可乘坐2号线在明故宫站下，步行几百米即到。 公交可以乘坐5路、34路、36路、55路和59路中山门下。 开放时间周一9：00-12：00（11：00停止入场）；周二-周日9：00-17：00（16：00停止入场）还有小剧场夜间开放。 可别来早了您内  展览内容:  南京博物院博大精深，规模宏大，建议安排至少半天到一天的时间，才能体会到内中精髓，博物院分为一院六馆，各有侧重，大家可以根据自己的喜好来有目的地选择  历史馆 最核心的当属博物院正中的主馆（历史馆），它的建筑由著名建筑师徐敬直设计，经建筑大师梁思成修改，作为博物院主楼，灵感来自三大辽构之一的大同华严寺大殿，气势恢弘，一进入大厅内也是雕梁画栋，极尽宫廷建筑之美。  历史馆非上下两层，共6个展厅，展现了江苏省这个江南腹地的华彩篇章，特别要注意历史馆各大展厅的几大重点文物，分别是2号展厅青铜卧鹿，神人兽面纹玉琮；3号展厅的广陵王玺，错银饰青铜牛灯；4号展厅青瓷神兽尊，“竹林七贤与荣启期”模印砖画；5号展厅唐三彩双鱼瓶（图8）；6号展厅大报恩寺塔琉璃拱门。  2.特展馆  历史馆的左侧是特展馆，这里经常有惊喜：2楼的8号展厅经常有精彩的巡回精品展出；9号展厅会展出南博的镇院之宝（定期轮换）；  3楼的10号展厅“走近佛前”展出清宫旧藏的青铜佛像；4楼的13-15号展厅分别展出院内珍藏的清三代官窑、清宫各类华美陈设和各式宫廷钟表。  3.艺术馆  特展馆前侧的艺术馆是院内第二大展馆，也是笔者最爱的展馆，特别推荐1楼的历代雕塑馆，里面精品无数；  历代书法馆从殷商甲骨文到历朝历代各种材质书法作品，又是一部浓缩的中华文明史；此外吴为山雕塑馆的写意人物雕塑也是一绝；2楼重点推荐历代绘画陈列，从宋元以来的书画精品，尤以明清馆藏书画是一大特色。还有两位江苏画家傅抱石和陈之佛个人展馆可以一观。  4.民国馆  此外南博还有一个人气颇高的特色展馆就是民国馆，它在艺术馆的负一层，内部高度还原了民国时期的历史建筑街景生活，让人逛之有穿越之感，这也是拍照的好地方。  逛完需要一整天的时间   		   ",4.5,1, , , 
秀man_8726,2023-04-1722:14," 一早就赶来期待已久的南京博物院了，第一波入的馆，附近有停车场有地铁和公交非常方便，里面非常大各种精美的文物是带娃开眼界的好去处在前台组一个语音导游还是必要的，可以很好的学习到很多知识，南京必去景点之一   		   ",5,0, , , 
匿名用户,2023-04-1720:24," 再次回到南京博物院、再次体验一下民国街，体验一下穿越到民国的时候，咖啡厅的两个小姐姐是我当时经过时照的，毫无违和感，镇院之宝换成了金蝉玉叶，因为太小了，照出来有一点花，还是现场实物好看，这次来民国馆发现有租赁旗袍的服务，希望我下次来南博能越来越好   		   ",5,0, , , 
师父,2023-04-1719:51,主要看了民国馆，风格比较复古，展出的有首脑座驾“老爷车”，还有老“邮政局”。时间原因走马观花，下次一定要再来好好看看。,4.5,8, , , 
夏日香气_1663,2023-04-1716:09," 金陵风景好，豪士集新亭。南京是一个很有魅力的城市，值得去的地方太多了。 打卡了心心念念的南京历史博物院，里面很大，没有逛完。从远古生物到现代文明，一览无遗。江苏自古至今大都是经济很发达的省，文化底蕴深厚，能工巧匠辈出。 但是最最最喜欢的还是民国馆，虽然不是很大，但是很值得一去。馆里有一家邮政局，可以寄一张明信片给自己的亲朋好友。还有各种民国周边，虽有商业气息，但更有生活气息。可以穿民国衣服照相，还可以坐下来喝着茶听着曲儿，感受民国时期的日常生活。 这次次意犹未尽，还会再去的。   		   ",5,1, , , 
丁丁来吃,2023-04-1713:22," 南京博物院，中国三大博物馆之一，名不虚传！全是国宝，目不暇接！本来，想更好了解一下每个宝贝的历史背景，排队花20块租了一个电子感应讲解器，但是老实说，不推荐。因为南京博物院人太多了，周边的喧闹声远远盖过讲解器的声音，感应也不是很灵敏。而且天热，个别人多场馆内空调不够给力，讲解器耳套带久了很闷热，不时取下，所以除了历史馆、特展馆听了几个，基本没用。个人感觉电子讲解器还是时候人少的情况下一个人慢慢走走停停听听想想才好，南京博物院太吵了！博物院文创周边做的不错，小本子看了忍不住不买，看见人少的地方还顺便盖了几个漂亮的章，感到疑惑的是，有几个盖章队伍竟然绕了好几个大圈，大多是学生，一盖就是三四本，博物馆让这么多人花很多时间排队只为一个章，到底对不对呢？   		   ",5,0, , , 
想去18楼吃顿饭,2023-04-1710:01," 在南京上学四年，都没有机会去博物院看看，自从前段时间旅游去了几个博物馆之后，便下定决心来南博院一览风采。  ???♂?游览路线:历史馆??特展馆??数字馆??民国馆??艺术馆??非遗馆 	 ??千万不要在休息日来！最近博物院的人真的好多，而且都在排队盖章，好可怕(?д?;?)我是周五来的，也有很多人，而且大多是拉着行李箱就来了，大家真的都是特种兵 	 ??比较推荐的馆是历史馆、数字馆和民国馆。历史馆建议大家要按照展厅的顺序参观，他是有逻辑的。数字馆就是有一些影片可以看，希望以后能升级，像中国大运河博物馆一样搞个5D！民国馆就是实景参观，适合拍照打卡，还有各种纪念品。我最喜欢的还是历史馆，给人的冲击力很大！ 	 ??大家来博物院一定要记得预约哦，要带身份证！无法自助取票，只能刷身份证或者江苏社保卡进。  	??祝大家到南京玩的开心。   		   ",5,0, , , 
孙千,2023-04-1709:46," 交通： 地铁一号线明故宫下，向前走一会就是  展览亮点： 一定要去看民国馆，里面都是仿民国时期的建筑 ??在艺术馆的负一层，茶馆里还有不定时演出 整个馆很大，里面有不同的主题馆，可能需要两个小时逛完。  ??门票是免费，需要提前预约，然后刷身份证进场就可以，如果没带身份证也可以刷电子社保。  tips： 门口对面那家明朝那些事的饭店很不好吃！   		   ",5,0, , , 
匿名用户,2023-04-1709:31," 来玩的话一定要提前一个星期在公众号上预约 交通: 交通这里不怎么好停车，人太多了 在博物院的外面马路边会有很多卖小吃的摊位，价格还可以 上厕所一定要在进门旁边的服务大厅上，因为里面的人特别多，要排队 展览内容:里面有些展厅维修中看不了 展览亮点: 民国街挺有特色的，适合打卡拍照，但是里面商店的工作人员都特别拽   		   ",5,0, , , 
姚哥_7506,"2023-04-17
??更新于2023-06-1708:57"," 感谢大家提醒，我看了不少文章，我把导游给我说的中国叫博物院的只有故宫、台北故宫、南京这个说法改掉，全国还有很多地方也叫，并且其实博物院这个叫法也没有馆藏更多的意思，国家博物馆、陕西历史博物馆一会不高兴了。 想在公众号预约免费的我觉得基本属于痴心妄想，最现实我觉得也是最好的方式就是在点评买带导游的票，这种大型博物馆有人给你讲真的比自己看好太多了。南博里面珍宝无数，不能出国展览的都有N件，竹林七贤砖、西汉金兽、银缕玉衣等等太多了，收获很大，值得细细品味哈，南京必来！   		   ",5,17, , , 
七木_9024,2023-04-1708:13," 坐地铁坐到明故宫下来走了几分钟就看到了，真的是在大夏天感觉来这里很赞，重点是还免费。 但是小伙伴们记得去的时候要先在官方小程序上面预约下，然后拿身份证刷卡直接进入，里面楼层分布的很清晰，累的话周边还有椅子可以坐着休息，又可以涨知识还可以吹着空调，在-1楼，还有一条民国街，很适合拍照，很棒。   		   ",5,0, , , 
姜壮壮,2023-04-1700:38," 我爱博物馆系列 南京博物院有6个展馆，藏品是全国第二，仅次于故宫博物院。 国家级三大博物院之一，门票预约免费。占地面积十三万余平方米，馆内大概有四十二万余件的藏品，简直就是宝藏级博物馆！ 可以按照历史馆、特展馆、数字馆、民国馆、非遗馆的顺序游览，这里能够让你从远古时代到春秋战国，然后欣赏到六朝更替以及宋元明清的各种艺术品。   		   ",5,11, , , 
MorningSunshine_6587,2023-04-1623:37," 早有耳闻，四大博物馆之一，名声在外，不过真是金玉其外，败絮其中。 南京必来景点，所以早早的就约了，抵宁之后就来了。 各类文物展品确实很多，精品也是数不胜数，但陈列和别的博物馆相比显得很不清晰，没有重点，没有进程。 参观秩序也很不好，连参观顺序都没有明确的标识，入口有人进出，出口也有人进出，工作人员都在玩手机，没有人维持秩序，第一次见这样的。 都是网红推的，盖章的地方人最多，文创说实话做的也不是很好，相较国内其他大馆。 博物院的外观确实恢弘大气，内里吧，真的可惜了这些文物，可惜了这些历史。   		   ",2.5,0, , , 
食飯先,2023-04-1623:18," 南京博物院交通很便利，地铁2号线明故宫站下来走一段。 藏品会转换，还有不定期会有一些展览，可以在有展出的时候去看。 提前预约好就行了。这一次去发现了以前没注意到的一个青花荔枝大盘，特别好看，器型超美观，釉色很清亮。   		   ",3.5,0, , , 
傲娇的三眼皮,2023-04-1621:56," 日行三万步每个馆全都游览到了！ 小TIPS：不用非得在排队最长的历史馆检票去旁边的艺术馆一样检票而且都是连通的进门导览台拿一份地图指南就可以开始规划路线了。 历史馆是最震撼的金缕玉衣青铜摇钱树等无法描述的震撼；艺术馆同样值得多花些时间名家字画雕塑诸多藏品；其次推荐民国馆比较适合拍照打卡逛累了可以来这里有咖啡馆喝杯咖啡歇一下脚；最后就是数字馆一张照片同时拍到耶稣和佛像信仰的映射。 不虚此行！！   		   ",5,0, , , 
许愿的猫饼干,2023-04-1621:00," 和妹子下午去的，只来得及看完艺术馆和特展馆，里面还有非遗馆和民国馆的内容，挺有意思的，可以听戏。镇馆之宝现在不开放有点可惜，下次再来。历史馆没来得及去，估计完整看完至少得一天吧。 当天也可以在微信公众号上预约，没带身份证的话，刷支付宝里的江苏社保卡也可以。   		   ",4.5,0, , , 
冈可青椒,2023-04-1620:36," 据说是全国数一数二的博物院，藏品很多很多，以前人还不是很多，现在南京成网红城市了，一到周末博物院挤的人山人海的，一进门可以租导览走到文物旁边会给你讲解这点很好，最主要是里面还有唱戏的，付点茶水费就能听一天   		   ",5,0, , , 
specialsea,2023-04-1618:52," 能叫博物院而不是博物馆的，真的是不一般！！ 很多宝贝，看着就是心思机巧，巧夺天工，有一些清宫玉器，真的是玲珑剔透。 只可惜镇院之没有开放，有些很厉害的没看到，好遗憾。 有个很神奇的事情，是小程序放票不是规律放票的，最早放票的时候没有票，但过了几天，突然有票了，后来又没票，当天游览前，又有一些票放出来。所以想来的小伙伴，一定要一直刷票。 来了一定不虚此行的！   		   ",5,0, , , 
小周一点也不听话,2023-04-1618:48,风景很好，很适合这两天的人气温，进院之后整个人都得到了放松，空气也很好，推荐大家过来玩哦,5,0, , , 
拿铁猫,2023-04-1618:28,"南京博物馆太有看头了，展品超多，多半天下来走了3万步。
需要提前在公众号预约，建议吃好早饭、带上水，好好地逛逛～夏天馆内冷气开的足，最好带件薄外套，再带上盖章本，有很多章能盖～",5,0, , , 
1CHUAN咖喱鱼蛋,2023-04-1618:15," 团了点评下面的讲解团（专业人士可以忽略，超级推荐，不需要蹲点等抢预约，都含在里面了，老师是徐州人，讲的眉飞色舞，热爱的人全身都是闪着光，臻不戳，主要逛一遍历史馆，南京博物院太大了，逛到脚断还逛不完，我还是留着脚第二天跑步，下次有机会再来吧。   		   ",5,0, , , 
隔壁老李,2023-04-1616:15," 南京博物院，非常值得一去的地方，网上需要提前预约门票，真的人非常非常的多，所以一定要提前预约，打车过去方便，广场走过去非常的气派，主展厅逛完后还有多小展厅值得转转，更好的了解过去的历史，在喧嚣的城市里找到一份宁静。   		   ",4.5,0, , , 
大脸柴犬,2023-04-1613:57,很大，藏宝也很丰富值得一看，就是那天比较匆忙有点赶，记得以前公众号预约。,4,1, , , 
啥,2023-04-1613:50," 明明是工作日，怎么人人人人人人人都是人 要来南京博物院的小伙伴，记得在公众号上提前预约哦 南京博物院真的好大，看展可以走到断腿的那一种 因为他的展馆不止有一个，有好几个，可能很多人是奔着正中央的那个展馆去的，但其实旁边的展馆可看的东西也是挺多的 人真的有点多，多少会有点影响看展的心情 很多人在排队打卡红墙（图9），还是匆匆拍个照吧 很希望再稍微淡一点的季节，再去一趟南京博物院，因为这次感觉有一点走马观花   		   ",4.5,0, , , 
抹茶章鱼小丸子,2023-04-1613:06," 此次南京之行，唯一打卡的景点，南京博物院。  它是中国三大博物馆之一，是中国创建最早的博物馆。馆藏珍贵文物最早可追溯至旧石器时代，数量居中国第二，仅次于故宫博物院。  参观”南院“必须预约，可以提前在官网或小程序预约，也可以当天现场预约，刷身份证入馆！！我是周六下午1点左右到的，边排队进馆边扫码预约，大概排了半小时就进馆了。  从广场上看，”南院“有四栋建筑，最引人注目的大殿朴实雄浑。实则""一院六馆“，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。  我的参观路线从历史馆开始，徜徉上下五千年；然后经数字馆，到民国馆。”民国风情展“通过仿民国时期的建筑浓缩还原了当时的南京城样貌，街道上的邮局、照相馆、书店、银楼都履行着实际功能，从整体到细节，很复古怀旧，很具民国特性，最受游客喜爱。  去老茶馆看戏喝茶兼休息，继续艺术馆看历代名家书法、绘画、雕塑；非遗馆很有江苏当地民俗特色。  比较遗憾的是，有几样镇馆之宝没看到。  PS：馆内有很多盖章点，都排着长长的队，挺不可思议的。我觉得与其浪费时间在这件所谓网红的事情上，不如租个讲解机，直接与历史对话，4个小时完全不够逛！   		   ",5,1, , , 
本土小吃货,2023-04-1612:19," 南京博物院位于江苏省南京市玄武区中山东路321号，是中国三大博物馆之一?，简称南院或南博，其前身是民国二十二年（1933年）蔡元培先生等倡建的国立中央博物院，是中国创建最早的博物馆、中国第一座由国家投资兴建的大型综合类博物馆。现投为大型综合性的国家级博物馆、首批国家一级博物馆??、首批中央地方共建国家级博物馆?、国家AAAA级旅游景区?、全国重点文物保护单位和中国20世纪建筑遗产?。  南京博物院占地13万余平方米，为“一院六馆”格局，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。另全院设“六所”的研究部门，即考古研究所、文物保护研究所、古代建筑研究所、陈列艺术研究所、非遗保护研究、古代艺术研究所，并设有中国博物馆中唯一的民族民俗学研究机构???，其中文物保护研究所被称为“文物三甲医院”，是中国纸质文物保护国家文物局重点科研基地?。  南京博物院拥有各类藏品和珍贵文物，珍贵文物数量居中国第二，仅次于故宫博物院，馆藏文物既有全国性的，又有地域性的历朝历代的珍品佳作和备受国内外学术界瞩目的珍品。   		   ",5,0, , , 
海绵,2023-04-1612:18," 去了到现在有一阵子了， 刚去的时候人还蛮多的，需要去提前个预约才能进去。 我又看了一下预约的时间点。一个月居然都被预约满了，真的是太火爆了。来的时候还是一几年的时候，时间确实隔得会比较长。不过喜欢文物历史的小伙伴是可以过来看一看，观赏一下的，也可以带自家的孩子来增加孩子的一些见识。   		   ",4,0, , , 
呵呵,2023-04-1611:30,配合安检把包袋子卷机器里了，工作人员也就看着不帮忙，包袋子都卷坏了,0.5,0, , , 
豆豆200051,2023-04-1611:29," 周末去南京博物院就是一片“人从众”，免费开放因预约已满，只能通过旅行社约，人均20元。 中午12:30左右到的，也就入院前的安检口排了10分钟左右，进入院内，虽然提前购买了网上讲解，但院内到处是人，空气也不太好，有点闷，无暇听讲解了～走马观花式得赶紧到出口处找了个空座等待其余人，下午3点左右出馆时，队伍已经排到了大门口了   		   ",3,0, , , 
suanbaoer,2023-04-1610:31," ??南京博物院  ??地铁??明故宫下车后得走个一公里吧，人真的超级多，路边也堵车，一定要提前公众号上预约啊，免费??的，我差不多是等到10点左右放票抢到的  ??里面还是挺大的，很多展品看到也很震撼，很推荐来！   		   ",5,3, , , 
may,2023-04-1610:24," 存柜的工作人员态度很差，用的糕点手提袋装的衣服，就是不让存。你要是提行李箱就可以放各种袋子！双肩包不行，除非你把东西塞进去。不太懂这个逻辑在哪里！ 我说“这有点教条”，她就啪的把号牌甩在桌子上！ 对一起工作的同事也是各种呼喝，不太理解。 都说文旅融合，文化单位景区化，可能要先改一改傲慢的态度！   		   ",0.5,1, , , 
大米小米,2023-04-1610:10," 来南京玩知道南京游客多所以就安排了这一个景点人真的巨多太阳又很晒在外面排队排了一个多小时进入博物馆之后温度比室外还要高入馆看了大概半个小时就要闭馆了所以没有好好参观挺遗憾的入馆的时候后面还是长长的队伍这种情况根本就没必要排队了闭馆都排不到啊也没有工作人员告知体验感不好   		   ",3,0, , , 
等等草莓哟,2023-04-1516:14," 的确棒，一定要提前预约！想周末来起码提前三天预约！工作日另说！打算下次留足时间来二刷，一个人只匆匆看完历史馆，特展馆就要两个多小时了，全部游一遍觉得要四五个小时！游客中心有存包处，行李箱也可以，自助存行李箱有百来个箱子，不够的话可以在左手边工作人员处登记存放，全都是免费的！所有的馆门口都有租讲解器的地方，每个馆门口都可以随时归还。讲解器值得租一个，馆内还有不定时免费讲解人员带你游（具体可咨询服务台），馆内设施齐全，可以借轮椅，厕所都有热水洗手，冷热饮用水供应，还有喝水一次性杯提供，细节到位，工作人员和志愿者态度都很好！   		   ",5,4, , , 
菜菜的小右吖,2023-04-1515:32," 南京博物院是国内的三大博物院之一，里面的藏宝实在值得看，完胜绝大多数省级博物馆。历史主要是在明朝之前，宝贝也非常多。但是因为太过于火爆，至少要提前一到两周预约，提前几天几乎是约不上的。分为历史馆、艺术馆、数字馆，至少要预留大半天的时间，否则也看不完。   		   ",5,0, , , 
檐外月一剪,2023-04-1512:49," 打卡南京博物院 景点挺大，展馆很多，能玩半天，推荐跟个团，找个讲解，这样能打卡18个镇馆之宝，还有2件世界上独一无二的展品！也不用自己提前七天预约票啦。 去景区，一定要带身份证！ 来南京一定要考虑来这里逛逛，真的受益良多   		   ",4.5,0, , , 
大飞猪猪,2023-04-1509:51," 这真的是南京的宝藏博物馆了，关键还免费。但是一定要提前预约，当天不一定能约上，不约进不去，要刷身份证入场。 主要是带宝宝来看火车的，火车在民国馆，这里很有意思，全是民国风装修。其他的馆我之前都看过，全逛完要一整天的时间，很不错。   		   ",5,0, , , 
马汀一人食,2023-04-1509:40," 特别大！一天根本逛不完，先去历史馆，一定要租个讲解器，走到了有讲解的展品位置讲解器会自动播放。  tips: 周末去的，人巨多，最好找个工作日再去。 民国馆是个商业街，属于网拍地，装修挺不错的，想拍照的一定不要错过。 还有排队盖章的人也巨多，想该章最好顶门来先盖   		   ",4.5,1, , , 
NO.631_2998,2023-04-1500:10," 交通： 博物馆门口是真堵呀！出租车师傅停在附近一个路口，让我们自己走着去。  南京博物馆的场地真的好大好大啊！每个馆都有打卡盖章的地方，每个盖章处都排了长长长长的队伍！  最让人震惊的是，民国馆里面，只用花一杯茶的价格，就可以看戏真的好划算啊！而且看到很多南京本地的老人家，也会来看戏的！南京的文化底蕴真的深厚！   		   ",5,0, , , 
点小评6962174880,2023-04-1422:30,"民国馆有种别样风情，喜欢拍照打卡的可以冲啊。
另外有个小茶楼，也挺不错。",5,0, , , 
鸿玺是个0,2023-04-1422:19," 南京博物院是中国三大博物馆之一，有历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆，六个展览馆。交通很方便，公交地铁都可以直达，需要提前预约~红墙真的是网红墙！如果想拍照打卡需要排队半个小时左右馆内很多地方都可以盖章，可是排队的人更多   		   ",5,0, , , 
